Date,Region,Product,Sales Amount
2023-01-01,West,Product A,747.38
2023-01-01,East,Product B,4960.39
2023-01-01,East,Product C,1678.15
2023-01-01,South,Product B,4883.59
2023-01-01,North,Product C,4524.71
2023-01-01,East,Product B,4017.01
2023-01-01,South,Product D,3726.52
2023-01-01,West,Product C,3071.45
2023-01-01,West,Product A,3544.39
2023-01-01,South,Product A,1506.89
2023-01-02,South,Product D,3090.11
2023-01-02,West,Product A,1883.08
2023-01-02,South,Product C,1055.2
2023-01-02,North,Product C,4791.28
2023-01-02,East,Product D,2119.75
2023-01-02,West,Product D,3538.74
2023-01-03,South,Product A,2100.67
2023-01-03,East,Product C,3725.16
2023-01-03,North,Product C,2118.39
2023-01-03,South,Product C,3919.53
2023-01-03,West,Product B,1891.37
2023-01-03,North,Product D,3313.26
2023-01-03,West,Product C,3897.07
2023-01-03,North,Product C,2339.55
2023-01-04,East,Product B,2167.07
2023-01-04,South,Product A,4706.15
2023-01-04,South,Product C,1505.5
2023-01-05,East,Product D,2280.16
2023-01-05,West,Product B,3123.12
2023-01-05,North,Product D,347.36
2023-01-05,East,Product D,1271.11
2023-01-05,South,Product B,3184.75
2023-01-05,East,Product D,2988.35
2023-01-06,East,Product C,936.94
2023-01-06,East,Product B,1414.86
2023-01-07,South,Product B,1345.68
2023-01-07,South,Product D,4105.19
2023-01-07,South,Product C,371.98
2023-01-07,North,Product D,1785.71
2023-01-07,West,Product C,4326.14
2023-01-07,North,Product D,2789.98
2023-01-07,North,Product D,1359.5
2023-01-07,West,Product C,933.07
2023-01-07,West,Product C,4747.94
2023-01-08,North,Product D,2904.97
2023-01-08,West,Product B,2937.76
2023-01-08,East,Product C,877.31
2023-01-08,South,Product A,2999.91
2023-01-08,West,Product C,1867.51
2023-01-08,West,Product C,784.51
2023-01-08,West,Product C,4208.38
2023-01-08,South,Product C,943.1
2023-01-08,East,Product B,1764.5
2023-01-09,East,Product C,1818.35
2023-01-09,East,Product D,4406.65
2023-01-09,South,Product A,2054.31
2023-01-10,East,Product A,1180.24
2023-01-10,East,Product B,1471.7
2023-01-10,South,Product A,2630.29
2023-01-10,South,Product B,294.76
2023-01-10,East,Product D,2893.42
2023-01-10,West,Product C,2296.08
2023-01-10,South,Product A,244.26
2023-01-10,South,Product B,789.69
2023-01-10,South,Product C,4670.4
2023-01-11,East,Product A,2786.57
2023-01-11,East,Product A,961.0
2023-01-11,West,Product C,2530.18
2023-01-11,South,Product D,2651.87
2023-01-11,North,Product B,3887.19
2023-01-12,South,Product D,2880.75
2023-01-12,South,Product B,3836.0
2023-01-12,West,Product D,3697.24
2023-01-12,East,Product A,1410.8
2023-01-12,North,Product D,3960.24
2023-01-12,North,Product D,110.29
2023-01-12,North,Product C,686.46
2023-01-12,South,Product D,4465.95
2023-01-12,North,Product A,2736.37
2023-01-12,West,Product B,4348.2
2023-01-12,South,Product D,1555.34
2023-01-12,North,Product B,4709.23
2023-01-12,South,Product D,2898.97
2023-01-13,West,Product B,2926.56
2023-01-13,East,Product B,2232.23
2023-01-13,South,Product C,4637.2
2023-01-13,West,Product A,4009.74
2023-01-13,West,Product C,4285.23
2023-01-13,West,Product D,244.98
2023-01-13,East,Product C,4191.14
2023-01-13,North,Product D,4763.89
2023-01-13,West,Product A,4806.24
2023-01-14,East,Product D,4879.24
2023-01-14,North,Product C,573.61
2023-01-14,North,Product B,2737.06
2023-01-14,South,Product C,2096.81
2023-01-14,North,Product C,1875.97
2023-01-14,South,Product B,4401.01
2023-01-15,South,Product B,1684.96
2023-01-15,North,Product D,3041.08
2023-01-15,West,Product D,984.91
2023-01-15,North,Product A,95.75
2023-01-15,East,Product A,3873.86
2023-01-15,North,Product D,4776.7
2023-01-16,East,Product B,1851.3
2023-01-16,South,Product B,2409.29
2023-01-16,East,Product A,4280.1
2023-01-16,West,Product C,862.99
2023-01-16,West,Product C,2484.36
2023-01-17,South,Product A,1400.94
2023-01-17,West,Product B,1689.51
2023-01-17,South,Product A,4378.8
2023-01-17,East,Product D,2678.47
2023-01-17,North,Product D,219.17
2023-01-17,East,Product A,2127.29
2023-01-17,South,Product D,196.23
2023-01-17,North,Product B,438.71
2023-01-17,West,Product D,293.18
2023-01-17,East,Product B,2499.23
2023-01-17,North,Product A,3073.21
2023-01-17,West,Product A,909.01
2023-01-18,South,Product C,3162.17
2023-01-18,South,Product D,4538.37
2023-01-18,East,Product C,3972.66
2023-01-19,South,Product D,3455.42
2023-01-19,North,Product C,2939.97
2023-01-19,West,Product B,337.33
2023-01-19,West,Product C,2048.6
2023-01-19,South,Product A,1480.13
2023-01-19,South,Product A,4366.55
2023-01-19,East,Product C,924.24
2023-01-19,East,Product A,1137.76
2023-01-19,South,Product A,3970.42
2023-01-19,North,Product D,3818.68
2023-01-19,North,Product D,1052.27
2023-01-20,West,Product D,4268.46
2023-01-20,North,Product C,2743.79
2023-01-20,South,Product D,208.71
2023-01-20,East,Product C,1433.24
2023-01-20,North,Product A,4281.84
2023-01-20,East,Product A,2033.46
2023-01-20,South,Product C,898.06
2023-01-20,North,Product C,2228.71
2023-01-21,North,Product A,4143.4
2023-01-21,East,Product B,2064.05
2023-01-21,East,Product C,1971.2
2023-01-21,East,Product A,2328.62
2023-01-21,North,Product C,4969.18
2023-01-21,South,Product C,4373.25
2023-01-21,North,Product B,248.1
2023-01-21,North,Product D,3370.2
2023-01-22,North,Product D,1301.91
2023-01-22,West,Product B,1969.43
2023-01-22,North,Product B,3602.63
2023-01-22,South,Product D,409.78
2023-01-22,East,Product B,3931.11
2023-01-22,South,Product A,3384.87
2023-01-22,South,Product C,1308.38
2023-01-22,West,Product C,405.45
2023-01-22,East,Product A,4887.35
2023-01-22,West,Product A,4094.66
2023-01-22,East,Product D,1079.05
2023-01-23,North,Product A,2823.88
2023-01-23,North,Product C,2450.71
2023-01-23,North,Product A,4960.59
2023-01-23,East,Product C,4110.45
2023-01-23,West,Product B,2789.33
2023-01-23,North,Product A,3372.95
2023-01-23,East,Product B,713.01
2023-01-23,West,Product B,3922.86
2023-01-24,East,Product A,2268.72
2023-01-25,North,Product D,63.03
2023-01-25,West,Product C,3479.4
2023-01-25,North,Product A,3594.51
2023-01-25,West,Product A,4317.66
2023-01-25,North,Product A,2663.89
2023-01-25,West,Product A,78.32
2023-01-25,North,Product D,2682.96
2023-01-25,West,Product A,104.28
2023-01-25,South,Product C,927.19
2023-01-26,South,Product A,3376.82
2023-01-26,West,Product A,3064.55
2023-01-26,East,Product B,2821.47
2023-01-26,South,Product C,426.0
2023-01-26,West,Product C,3731.5
2023-01-26,South,Product A,625.09
